Date,HomeTeam,AwayTeam,HC,AC
29/12/2025,Masfout CSC,Emirates Club RAK,2,4
29/12/2025,Al Dhaid,Gulf United FC,6,2
29/12/2025,Al Arabi Umm Al Quwain,Al Urooba,3,6
01/01/2026,Al Fujairah,Al Dhaid,3,2
01/01/2026,Al Hamriyah,Gulf United FC,5,1
01/01/2026,Masfout CSC,City FC,5,5
01/01/2026,Al Jazira Al Hamra,Gulf Heroes FC,6,7
01/01/2026,Dibba Al Hisn,Al Taawon,5,1
01/01/2026,Masafi,Dubai United,2,7
01/01/2026,Al Dhafra SCC,Gulf Heroes FC,6,4
01/01/2026,Al Jazira Al Hamra,Gulf United FC,6,4
01/01/2026,Al Dhaid,Masfout CSC,9,7
01/01/2026,Dubai United,Dibba Al Hisn,2,5
01/01/2026,Dibba Al Fujairah,Al Fujairah,6,9
01/01/2026,Al Urooba,Al Hamriyah,7,6
04/01/2026,Dibba Al Hisn,City FC,6,0
04/01/2026,Masafi,Al Dhaid,3,6
10/01/2026,Al Hamriyah,Al Taawon,10,2
10/01/2026,Al Jazira Al Hamra,Al Urooba,7,11
17/01/2026,Masfout CSC,Dibba Al Fujairah,2,9
17/01/2026,Al Dhafra SCC,Gulf United FC,4,2
17/01/2026,Al Arabi Umm Al Quwain,Dubai United,2,2
17/01/2026,Gulf United FC,Gulf Heroes FC,4,1
17/01/2026,Al Urooba,Al Dhafra SCC,4,6
17/01/2026,Dibba Al Fujairah,Masafi,8,3
17/01/2026,Dubai United,Al Hamriyah,6,4
17/01/2026,Al Dhaid,Dibba Al Hisn,1,4
17/01/2026,Al Taawon,Al Jazira Al Hamra,6,1
17/01/2026,Al Arabi Umm Al Quwain,City FC,5,1
17/01/2026,Al Dhafra SCC,Al Taawon,6,1
17/01/2026,Masfout CSC,Al Fujairah,1,8
24/01/2026,Gulf Heroes FC,Al Urooba,4,8
24/01/2026,Al Hamriyah,City FC,10,4
24/01/2026,Al Arabi Umm Al Quwain,Al Dhaid,6,3
24/01/2026,Dibba Al Hisn,Dibba Al Fujairah,5,3
24/01/2026,Al Jazira Al Hamra,Dubai United,4,7
24/01/2026,Al Dhaid,Al Hamriyah,3,4
24/01/2026,Al Jazira Al Hamra,City FC,5,0
24/01/2026,Al Dhaid,Al Hamriyah,3,4
24/01/2026,Dubai United,Al Dhafra SCC,3,4
24/01/2026,Al Taawon,Gulf Heroes FC,3,2
24/01/2026,Al Urooba,Gulf United FC,6,5
